Date,Price,Income/Expense,Category
2020-01-01,242.37,Income,Service Revenue
2020-01-01,5599.42,Income,Investment Return
2020-01-02,314.35,Expense,Marketing
2020-01-02,1691.7,Expense,Office Supplies
2020-01-02,265.09,Income,Service Revenue
2020-01-02,347.34,Income,Grants
2020-01-02,2546.8,Expense,Utilities
2020-01-03,1400.98,Income,Service Revenue
2020-01-03,1989.18,Expense,Office Supplies
2020-01-04,3403.24,Income,Investment Return
2020-01-04,9394.88,Income,Grants
2020-01-05,4874.51,Income,Investment Return
2020-01-05,705.4,Expense,Marketing
2020-01-06,287.83,Expense,Utilities
2020-01-07,4550.52,Expense,Travel
2020-01-07,4195.23,Expense,Marketing
2020-01-07,2973.42,Expense,Rent
2020-01-08,1521.29,Expense,Marketing
2020-01-09,1183.96,Income,Product Sales
2020-01-09,2618.98,Expense,Utilities
2020-01-10,7424.69,Income,Product Sales
2020-01-10,2204.46,Expense,Office Supplies
2020-01-10,4651.08,Expense,Travel
2020-01-11,7185.79,Income,Investment Return
2020-01-11,1153.48,Income,Investment Return
2020-01-11,3583.66,Income,Investment Return
2020-01-11,2341.94,Expense,Rent
2020-01-12,4719.0,Expense,Office Supplies
2020-01-12,8223.86,Income,Grants
2020-01-12,4412.24,Expense,Salaries
2020-01-12,4530.28,Income,Investment Return
2020-01-13,1446.64,Expense,Utilities
2020-01-14,5627.69,Income,Product Sales
2020-01-14,405.51,Expense,Marketing
2020-01-14,4203.29,Expense,Utilities
2020-01-15,4806.32,Income,Product Sales
2020-01-15,6142.74,Income,Investment Return
2020-01-16,4480.72,Expense,Office Supplies
2020-01-17,4095.9,Income,Investment Return
2020-01-17,323.43,Expense,Salaries
2020-01-17,2743.47,Expense,Office Supplies
2020-01-18,3883.12,Income,Investment Return
2020-01-18,1392.17,Expense,Office Supplies
2020-01-19,3366.66,Expense,Office Supplies
2020-01-19,4499.57,Expense,Rent
2020-01-19,1543.36,Expense,Travel
2020-01-20,3620.9,Expense,Office Supplies
2020-01-21,2659.25,Expense,Rent
2020-01-21,4905.87,Expense,Utilities
2020-01-21,2076.33,Income,Service Revenue
2020-01-21,2195.05,Expense,Office Supplies
2020-01-21,1044.0,Expense,Office Supplies
2020-01-21,1459.3,Income,Grants
2020-01-22,491.51,Expense,Travel
2020-01-22,5300.06,Income,Product Sales
2020-01-22,3453.3,Expense,Utilities
2020-01-22,444.64,Expense,Rent
2020-01-23,3890.54,Income,Grants
2020-01-23,9414.71,Income,Service Revenue
2020-01-23,6039.68,Income,Service Revenue
2020-01-24,7561.83,Income,Investment Return
2020-01-25,2447.28,Expense,Marketing
2020-01-25,819.76,Expense,Travel
2020-01-25,2732.09,Expense,Travel
2020-01-27,2375.68,Expense,Travel
2020-01-27,2020.45,Expense,Marketing
2020-01-28,639.67,Income,Grants
2020-01-28,1842.18,Expense,Rent
2020-01-28,1574.72,Expense,Utilities
2020-01-28,3573.99,Expense,Travel
2020-01-29,4655.5,Expense,Rent
2020-01-29,7275.39,Income,Product Sales
2020-01-29,1350.38,Expense,Office Supplies
2020-01-29,3789.5,Expense,Office Supplies
2020-01-29,2436.37,Income,Service Revenue
2020-01-29,2262.18,Expense,Utilities
2020-02-01,1722.49,Expense,Utilities
2020-02-03,7569.92,Income,Investment Return
2020-02-03,1119.15,Expense,Utilities
2020-02-03,5875.87,Income,Grants
2020-02-04,7853.83,Income,Investment Return
2020-02-04,1588.75,Expense,Marketing
2020-02-04,3113.71,Expense,Travel
2020-02-05,8334.07,Income,Investment Return
2020-02-05,8332.25,Income,Grants
2020-02-05,4138.58,Income,Service Revenue
2020-02-06,3110.83,Income,Investment Return
2020-02-06,8675.65,Income,Grants
2020-02-06,4082.01,Income,Investment Return
2020-02-07,3647.54,Expense,Travel
2020-02-07,3617.61,Expense,Office Supplies
2020-02-07,1138.52,Expense,Utilities
2020-02-08,1143.51,Income,Investment Return
2020-02-08,685.0,Expense,Office Supplies
2020-02-08,6713.23,Income,Grants
2020-02-08,1675.67,Income,Grants
2020-02-09,3229.54,Expense,Marketing
2020-02-09,986.7,Income,Product Sales
2020-02-10,3326.23,Income,Service Revenue
2020-02-10,1337.07,Expense,Salaries
2020-02-10,3639.85,Expense,Utilities
2020-02-11,401.12,Income,Grants
2020-02-11,99.28,Expense,Rent
2020-02-11,3930.25,Expense,Marketing
2020-02-12,1152.03,Income,Product Sales
2020-02-12,5687.51,Income,Grants
2020-02-12,3290.94,Expense,Marketing
2020-02-12,3328.41,Expense,Marketing
2020-02-12,4414.4,Expense,Marketing
2020-02-16,4221.0,Income,Grants
2020-02-16,7851.7,Income,Product Sales
2020-02-16,3438.84,Expense,Marketing
2020-02-16,2371.69,Expense,Marketing
2020-02-16,3494.11,Income,Product Sales
2020-02-17,1426.19,Expense,Salaries
2020-02-18,2915.64,Expense,Salaries
2020-02-19,643.65,Expense,Office Supplies
2020-02-19,2527.5,Expense,Utilities
2020-02-20,4018.85,Expense,Travel
2020-02-20,1861.05,Income,Investment Return
2020-02-20,1481.8,Expense,Salaries
2020-02-20,5220.37,Income,Product Sales
2020-02-22,2141.47,Expense,Salaries
2020-02-23,7884.68,Income,Investment Return
2020-02-23,6557.52,Income,Product Sales
2020-02-24,7682.1,Income,Service Revenue
2020-02-24,1091.47,Expense,Marketing
2020-02-24,2450.83,Expense,Office Supplies
2020-02-24,242.29,Income,Grants
2020-02-25,39.11,Expense,Travel
2020-02-27,8155.73,Income,Service Revenue
2020-02-27,4590.85,Expense,Travel
2020-02-28,3756.65,Expense,Office Supplies
2020-02-29,2745.86,Income,Grants
2020-03-01,1812.94,Income,Grants
2020-03-01,2558.09,Expense,Salaries
2020-03-01,1012.74,Expense,Office Supplies
2020-03-02,1535.12,Expense,Rent
2020-03-02,9866.23,Income,Grants
2020-03-03,1372.32,Expense,Utilities
2020-03-03,9166.5,Income,Service Revenue
2020-03-05,209.48,Expense,Office Supplies
2020-03-05,338.69,Income,Product Sales
2020-03-06,2371.0,Income,Grants
2020-03-07,224.52,Expense,Rent
2020-03-07,3452.12,Expense,Office Supplies
2020-03-09,2768.64,Expense,Utilities
2020-03-09,9813.7,Income,Product Sales
2020-03-09,2083.75,Expense,Salaries
2020-03-12,1728.4,Expense,Office Supplies
2020-03-13,2850.79,Expense,Travel
2020-03-13,3268.56,Income,Product Sales
2020-03-13,7446.02,Income,Grants
2020-03-15,4984.11,Expense,Rent
